department,fiscal_year,program,umbrella,description,fy_started,category_youth_development,data_quality,centralized_db,youth_served,youth_served_accuracy,demographic_info_collected,race_ethnicity,gender,household_income,age_range,grade_level,participation_frequency,multienrollment,program_season,service_area_council_district,total_funding_dollars,funding_accuracy,funding_source,general_fund_percentage,general_fund_source_amount,special_purpose_source_amount,city_staff,service_providers_contractors,recruitment_strategy,interactions,additional_info
Aging,2023-2024,Senior Prom,Yes,"SBSS host a senior prom for older adults 60+, care givers, to celebrate the year. This event is",2023-2024,Other,Very good,Yes,0,Exact Amount,,,,,,,,,,,15000,Estimate,Philanthropic Funds,20%,,,0,1,Emails,"""Parents, guardings, caregivers""",SBSS
Aging,2023-2024,Thanksgiving Feast,Yes,SBSS host a thanksgiving feast at its main three sites. Members are encouraged and celebrate the holidays. Volunteers are recruited through PAVAA and parents/ students volunteer together.,2024-2025,Other,Good,Yes,4,Exact Amount,,,,,,,,,,,1200,Estimate,General Fund (City),100%,,,0,1,Other,"""Parents, guardings, caregivers""",cost is for food only
Aging,2023-2024,Christmas Social Party,Yes,SBSS host a Christmas Party at its main three sites. Members are encouraged and celebrate the holidays. Volunteers are recruited through PAVAA and parents/ students volunteer together.,2023-2024,Other,Good,Yes,4,Exact Amount,,,,,,,,,,,1200,Estimate,General Fund (City),100%,,,0,1,Emails,"""Parents, guardings, caregivers""",cost is for food only
Aging,2023-2024,Thanksgiving food delivery,Yes,SBSS delivered meals to CII members with volunteers and had students/families deliver the meals,2024-2025,Other,Good,Yes,0,Exact Amount,,,,,,,,,,,,Estimate,General Fund (City),,,,0,1,Emails,"""Parents, guardings, caregivers""",SBSS post volunteer opportunities online and encourages family to attend.
Aging,2023-2024,Valentines Day Social Party,Yes,SBSS host a Valentines Day Party at its main three sites. Members are encouraged and celebrate the holidays. Volunteers are recruited through PAVAA and parents/ students volunteer together.,2024-2025,Other,Good,Yes,0,Exact Amount,,,,,,,,,,,1200,Estimate,General Fund (City),100%,,,0,1,Emails,"""Parents, guardings, caregivers""",cost is for food only
Aging,2023-2024,Intergenerational Vocational Employment Programs,,LA LGBT Center - Youth and Seniors are trained in culinary arts and social services. This is partially supported through an LA Rise contract and private grants. Food that created from this program supports our congregant meal program through the City Dept of Aging,FY2019,Career Readiness & Financial Empowerment,,Yes,170,Estimated Amount,LGBTQIA,Yes,Yes,No,18 to 19,Post-secondary,Multiple times,No,Year-round,CD 4,620000,Estimate,Special Purpose Funds (City),30%,LA Rise,200K,,1-3,0,Referrals,Social workers
Aging,2023-2024,San Fernando Valley Intercommunity Council,Yes,"SFVIC umbrella activities include case management and activities designed to engage children and youth in meaningful programming that fosters community involvement. Our IIB Umbrella Program serves as a comprehensive initiative that connects youth with their community through case management, mentorship, and intergenerational engagement. Our activities bring children and young adults together with seniors, fostering education, mentorship, and a sense of social responsibility.",FY2017,"Academic Achievement & Education Enrichment, Mentorship, Leadership Development, Health and Wellbeing, Other",Very good,No,600,Estimated Amount,"Race/ethnicity, Gender, Other",Unsure,Unsure,Unsure,"20 to 25, 18 to 19, 15 to 17, 12 to 14, 9 to 11",,Multiple times,,,,,,,,,,,,,,
Aging,2023-2024,City Pathways Student Intern Program,No,"LADOA began serving as a host agency for the L.A. City Pathways program in 2024. The Pathways program is an internship program designed to provide college students with invaluable exposure to a wide range of career opportunities available in the City of Los Angeles. Interns learn about individual departmental functions, receive on-the-job training, real-life work experience, and provide support to departmental staff and constituents.",FY2023-24,"Career Readiness & Financial Empowerment, Academic Achievement & Education Enrichment, Mentorship",Very good,No,7,Exact Amount,,Unsure,Unsure,Unsure,20 to 25,Post-secondary,,,,,,,,,,,,,,,
Aging,2023-2024,Sages and Seekers,No,"Sages & Seekers is an intergenerational program that builds meaningful
 relationships between Sages (adults 60+) and Seekers (students 15-24). This
 program is an opportunity to share your life stories with an interested listener.",2023,Mentorship,Fair,No,10,Exact Amount,Gender,,Yes,,14 to 18,9-12th grade,Multiple times,No,Fall,,0,Exact,Private Organization,,,,,,Referrals,Community members,"Fall Session. This was the first time launching this workshop at our center with Fairfax HS Students. The seniors enjoyed participating and it was well received. Session dates: Sept. 26, Oct. 3, 10, 17, 24, 31, Nov. 7, 14"
Aging,2023-2024,Sages and Seekers,No,"Sages & Seekers is an intergenerational program that builds meaningful
 relationships between Sages (adults 60+) and Seekers (students 15-24). This
 program is an opportunity to share your life stories with an interested listener.",2024,Mentorship,Fair,No,10,Exact Amount,Gender,,Yes,,14 to 18,9-12th grade,Multiple times,No,Winter,,0,Exact,Private Organization,,,,,,Referrals,Community members,"Winter Session. This was second workshop with the Fairfax HS Students. Many of the seniors were retuning participants and the HS were new, mostly referrals. Session dates: Jan 30 to Mar 19"
Aging,2023-2024,Sages and Seekers,No,"Sages & Seekers is an intergenerational program that builds meaningful
 relationships between Sages (adults 60+) and Seekers (students 15-24). This
 program is an opportunity to share your life stories with an interested listener.",2024,Mentorship,Good,No,10,Exact Amount,Gender,,Yes,,14 to 18,9-12th grade,Multiple times,No,Fall,CD 5,0,Exact,Private Organization,,,,,,Referrals,Community members,"Fall Session. This was third workshop with the Fairfax HS Students. Again, many of the seniors were retuning participants and the HS were new, mostly referrals. Session dates: Oct 1 to Nov 19."
Aging,2023-2024,Sages and Seekers,No,"Sages & Seekers is an intergenerational program that builds meaningful
 relationships between Sages (adults 60+) and Seekers (students 15-24). This
 program is an opportunity to share your life stories with an interested listener.",2025,Mentorship,Good,No,14,Exact Amount,Gender,,Yes,,18+,Undergradutes,Multiple times,No,Winter,CD 5,0,Exact,Private Organization,,,,,,Referrals,Community members,"Fall Session. This was first workshop with students from UCLA. Again, many of the seniors were retuning participants and these were all new groupd of college age students. We were also able to increase the participation group from 1o to 14. Session dates: Jan 23 to March 6."
Aging,2023-2024,Mishkon preschool Program,No,"Mishkon Preschool visits the BAR Center Senior Center in Venice once a month. The preschoolers join the seniors for the Friday Shabbat program, singing songs and celebrating.",FY2024,Recreation,Good,No,20,Estimated Amount,,,,,0 to 5,Pre-K,Multiple times,No,Year-round,CD 11,0,Exact,Private Organization,,,,,,Community Partnerships,Educators,The BAR Center staff worked with the Mishkon preschool to organize the preschool children to come to the BAR Center for the Friday Shabbat program and also arranged for a field trip for the older adult members of the BAR Center Senior Center to visit Mishkon Preschool several times a year for activities such as braiding Challah bread for baking.
Aging,2023-2024,Cafe Europa and Temple Akiba,No,Temple Akiba organized middle school students for a project with Holocaust Survivors at Café Europa. The students interviewed the survivors and then wrote poems and stories and created art inspired by the stories.,FY2025,Academic Achievement & Education Enrichment,Good,No,15,Estimated Amount,,,,,12 to 14,6-8th grade,Multiple times,No,Year-round,CD 5,0,Exact,Private Organization,,,,,,Community Partnerships,Educators,"The Temple Akiba students met with the Holocaust survivors once and then returned in a month or two to share the stories and poems they wrote and the art they created inspired by their stories. A printed book was created, with photographs taken of the survivors and the youth. Each survivor received a copy, which included the written work and art inspired by their stories."
Aging,2023-2024,Cafe Europa and Maimonides Day School,No,Maimonides Day school visits the Holocaust Survivor program on special occasions. For the March 2024 Purim party the students came to perform a play for the survivors. They came in November 2024 to celebrate a 107 year old birthday and they came in December 2024 for the Chanukkah party and helped the survivors complete a glass art project.,FY2024 and FY 2025,Academic Achievement & Education Enrichment,Good,No,20,Estimated Amount,,,,,15 to 17,9-12th grade,Multiple times,No,Year-round,CD 5,0,Exact,Private Organization,,,,,,Community Partnerships,Educators,"The students from Maimonides Day School visit several times a year to engage with the Holocaust Survivors at our Café Europa Tuesday program. The students uplift the Survivors with singing and dancing with them and participating in art projects. The students get to know the Survivors, talking with them, and build a relationship with them over the years."
Aging,2023-2024,Sages & Seekers,No,,2015,Academic Achievement & Education Enrichment,Good,Yes,100,Estimated Amount,Gender,Yes,Yes,,15 to 17,9-12th grade,Multiple times,Yes,Year-round,CD 6,150000,Estimate,Philanthropic Funds,,,,0,,,Community members,
Aging,2023-2024,Intergenerational Tech Tutoring,No,,2017,Academic Achievement & Education Enrichment,Good,No,15,Estimated Amount,Gender,Yes,Yes,,15 to 17,9-12th grade,Multiple times,Yes,Year-round,CD 3,0,Estimate,Other,,,,0,,,Educators,
AnimalServices,2023-2024,LAAS Volunteer Program,Yes,"Los Angeles Animal Services (LAAS) has a volunteer program where people can assist with helping the animal care centers operate, provide enrichment for animals in our care, and work with the community to educate and provide services. Volunteers are aged 12 years and older.",Jul 97 / Jun 98,"Recreation, Mentorship, Leadership Development",Good,Yes,414,Exact Amount,"Gender, Address or Zipcode, Other",,Unsure,,"12 to 14, 15 to 17, 18 to 19, 20 to 25, 25 to 30","9-12th grade, Post-secondary",Multiple times,,Year-round,All Council Districts,,,"Other, General Fund (City), Philanthropic Funds",,,,10 or more,,"Emails, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", Educators, City department staff",No specific budget
